id,filing_date,filing_type,filing_json,payment_id,transaction_id,business_id,submitter_id,status,payment_completion_date,paper_only,completion_date,effective_date,source,parent_filing_id,payment_status_code,temp_reg,payment_account
101848,2020-09-01 22:52:11.333079+00,lear_epoch,"{""filing"": {""header"": {""name"": ""lear_epoch""}, ""business"": {""legalName"": ""AMBLEVIEW PLACE HOUSING CO-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001537"", ""foundingDate"": ""1986-10-30T00:00:00+00:00"", ""lastModified"": ""2020-09-01T22:52:09.691608"", ""hasRestrictions"": null, ""lastAnnualReport"": ""2018-05-01"", ""nextAnnualReport"": ""2019-05-01T00:00:00"", ""lastLedgerTimestamp"": ""2018-12-04T00:00:00+00:00"", ""lastAnnualGeneralMeetingDate"": ""2018-05-01""}}}",,128773,3332,,EPOCH,,f,,2020-09-01 22:52:11.333086+00,COLIN,,,,
101849,1986-10-30 00:00:00+00,incorporationApplication,"{""filing"": {""header"": {""date"": ""1986-10-30"", ""name"": ""incorporationApplication"", ""colinIds"": [101989741], ""historic"": true, ""effectiveDate"": ""1986-10-30"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""corpState"": ""ACT"", ""legalName"": ""AMBLEVIEW PLACE HOUSING CO-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001537"", ""lastArDate"": ""2018-05-01"", ""lastAgmDate"": ""2018-05-01"", ""foundingDate"": ""1986-10-30T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2018-12-04T00:00:00-00:00""}, ""incorporationApplication"": {""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,128774,3332,122,COMPLETED,,t,,1986-10-30 00:00:00+00,COLIN,,,,
101850,1992-05-26 00:00:00+00,annualReport,"{""filing"": {""header"": {""date"": ""1992-05-26"", ""name"": ""annualReport"", ""colinIds"": [102015461], ""historic"": true, ""effectiveDate"": ""1992-05-26"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""corpState"": ""ACT"", ""legalName"": ""AMBLEVIEW PLACE HOUSING CO-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001537"", ""lastArDate"": ""2018-05-01"", ""lastAgmDate"": ""2018-05-01"", ""foundingDate"": ""1986-10-30T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2018-12-04T00:00:00-00:00""}, ""annualReport"": {""annualReportDate"": ""1992-05-04"", ""annualGeneralMeetingDate"": null}}}",,128775,3332,122,COMPLETED,,t,,1992-05-26 00:00:00+00,COLIN,,,,
101851,1992-05-26 00:00:00+00,changeOfDirectors,"{""filing"": {""header"": {""date"": ""1992-05-26"", ""name"": ""changeOfDirectors"", ""colinIds"": [102015460], ""historic"": true, ""effectiveDate"": ""1992-05-26"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""corpState"": ""ACT"", ""legalName"": ""AMBLEVIEW PLACE HOUSING CO-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001537"", ""lastArDate"": ""2018-05-01"", ""lastAgmDate"": ""2018-05-01"", ""foundingDate"": ""1986-10-30T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2018-12-04T00:00:00-00:00""}, ""changeOfDirectors"": {""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,128776,3332,122,COMPLETED,,t,,1992-05-26 00:00:00+00,COLIN,,,,
101852,1993-05-06 00:00:00+00,specialResolution,"{""filing"": {""header"": {""date"": ""1993-05-06"", ""name"": ""specialResolution"", ""colinIds"": [102015466], ""historic"": true, ""effectiveDate"": ""1993-05-06"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""corpState"": ""ACT"", ""legalName"": ""AMBLEVIEW PLACE HOUSING CO-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001537"", ""lastArDate"": ""2018-05-01"", ""lastAgmDate"": ""2018-05-01"", ""foundingDate"": ""1986-10-30T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2018-12-04T00:00:00-00:00""}, ""specialResolution"": {""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,128777,3332,122,COMPLETED,,t,,1993-05-06 00:00:00+00,COLIN,,,,
101853,1993-05-06 00:00:00+00,specialResolution,"{""filing"": {""header"": {""date"": ""1993-05-06"", ""name"": ""specialResolution"", ""colinIds"": [102015462], ""historic"": true, ""effectiveDate"": ""1993-05-06"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""corpState"": ""ACT"", ""legalName"": ""AMBLEVIEW PLACE HOUSING CO-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001537"", ""lastArDate"": ""2018-05-01"", ""lastAgmDate"": ""2018-05-01"", ""foundingDate"": ""1986-10-30T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2018-12-04T00:00:00-00:00""}, ""specialResolution"": {""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,128778,3332,122,COMPLETED,,t,,1993-05-06 00:00:00+00,COLIN,,,,
101854,1993-05-11 00:00:00+00,changeOfDirectors,"{""filing"": {""header"": {""date"": ""1993-05-11"", ""name"": ""changeOfDirectors"", ""colinIds"": [102015463], ""historic"": true, ""effectiveDate"": ""1993-05-11"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""corpState"": ""ACT"", ""legalName"": ""AMBLEVIEW PLACE HOUSING CO-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001537"", ""lastArDate"": ""2018-05-01"", ""lastAgmDate"": ""2018-05-01"", ""foundingDate"": ""1986-10-30T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2018-12-04T00:00:00-00:00""}, ""changeOfDirectors"": {""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,128779,3332,122,COMPLETED,,t,,1993-05-11 00:00:00+00,COLIN,,,,
101855,1993-06-10 00:00:00+00,annualReport,"{""filing"": {""header"": {""date"": ""1993-06-10"", ""name"": ""annualReport"", ""colinIds"": [102015464], ""historic"": true, ""effectiveDate"": ""1993-06-10"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""corpState"": ""ACT"", ""legalName"": ""AMBLEVIEW PLACE HOUSING CO-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001537"", ""lastArDate"": ""2018-05-01"", ""lastAgmDate"": ""2018-05-01"", ""foundingDate"": ""1986-10-30T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2018-12-04T00:00:00-00:00""}, ""annualReport"": {""annualReportDate"": ""1993-04-15"", ""annualGeneralMeetingDate"": null}}}",,128780,3332,122,COMPLETED,,t,,1993-06-10 00:00:00+00,COLIN,,,,
101856,1993-12-07 00:00:00+00,changeOfDirectors,"{""filing"": {""header"": {""date"": ""1993-12-07"", ""name"": ""changeOfDirectors"", ""colinIds"": [102015465], ""historic"": true, ""effectiveDate"": ""1993-12-07"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""corpState"": ""ACT"", ""legalName"": ""AMBLEVIEW PLACE HOUSING CO-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001537"", ""lastArDate"": ""2018-05-01"", ""lastAgmDate"": ""2018-05-01"", ""foundingDate"": ""1986-10-30T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2018-12-04T00:00:00-00:00""}, ""changeOfDirectors"": {""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,128781,3332,122,COMPLETED,,t,,1993-12-07 00:00:00+00,COLIN,,,,
101857,1994-06-08 00:00:00+00,changeOfDirectors,"{""filing"": {""header"": {""date"": ""1994-06-08"", ""name"": ""changeOfDirectors"", ""colinIds"": [102015467], ""historic"": true, ""effectiveDate"": ""1994-06-08"", ""availableOnPaperOnly"": true}, ""business"": {""status"": ""Active"", ""corpState"": ""ACT"", ""legalName"": ""AMBLEVIEW PLACE HOUSING CO-OPERATIVE"", ""legalType"": ""CP"", ""identifier"": ""CP0001537"", ""lastArDate"": ""2018-05-01"", ""lastAgmDate"": ""2018-05-01"", ""foundingDate"": ""1986-10-30T00:00:00-00:00"", ""jurisdiction"": ""BC"", ""businessNumber"": null, ""lastLedgerTimestamp"": ""2018-12-04T00:00:00-00:00""}, ""changeOfDirectors"": {""annualReportDate"": null, ""annualGeneralMeetingDate"": null}}}",,128782,3332,122,COMPLETED,,t,,1994-06-08 00:00:00+00,COLIN,,,,
